Optical Power Monitor,,,,,,,
6.5.5217.15,,,,,,,
Delimiter Used: , ',',,,,,
,,,,,,,
Start of Measurement , 9/29/2025 16:00:38,,,,,,
Sample Interval , 10 s,,,,,,
, PM100D 250207512, PM100D 14101752,,,,,
Type, PM100D, PM100D,,,,,
Serialnumber, P0037408, P0009211,,,,,
Sensor, S121C, S121C,,,,,
SensorSerialnumber,250207512,14101752,,,,,
Wavelength / Responsivity, 852 nm, 852 nm,,,,,
,,,,,,,
,,,PM100D 250207512, PM100D 250207512, PM100D 14101752, PM100D 14101752, 
Samples ,Date,Time,7512Power (W),7512Temperature (°C),1752Power (W),1752Temperature (°C),
75, 9/29/2025, 16:13:10.424,0.017311,22.02,0.033911,21.882,
76, 9/29/2025, 16:13:20.442,0.017295,22.027,0.033912,21.878,
77, 9/29/2025, 16:13:30.452,0.017306,22.02,0.033909,21.878,
78, 9/29/2025, 16:13:40.478,0.017302,22.015,0.033914,21.88,
79, 9/29/2025, 16:13:50.495,0.017307,22.02,0.033913,21.881,
80, 9/29/2025, 16:14:00.508,0.017314,22.021,0.033914,21.88,
81, 9/29/2025, 16:14:10.520,0.017305,22.022,0.03392,21.88,
82, 9/29/2025, 16:14:20.527,0.017302,22.012,0.0339,21.881,
83, 9/29/2025, 16:14:30.540,0.017305,22.016,0.033911,21.882,
84, 9/29/2025, 16:14:40.558,0.01731,22.017,0.033894,21.88,
85, 9/29/2025, 16:14:50.575,0.017306,22.01,0.033909,21.883,
86, 9/29/2025, 16:15:00.578,0.017309,22.015,0.0339,21.884,
87, 9/29/2025, 16:15:10.606,0.017315,22.01,0.033903,21.884,
88, 9/29/2025, 16:15:20.616,0.017309,22.013,0.033903,21.885,
89, 9/29/2025, 16:15:30.627,0.017306,22.01,0.033891,21.885,
90, 9/29/2025, 16:15:40.636,0.017306,22.014,0.033914,21.889,
91, 9/29/2025, 16:15:50.646,0.017304,22.014,0.033916,21.888,
92, 9/29/2025, 16:16:00.650,0.017308,22.012,0.033905,21.888,
93, 9/29/2025, 16:16:10.665,0.017306,22.012,0.033913,21.883,
94, 9/29/2025, 16:16:20.687,0.017307,22.013,0.03391,21.88,
95, 9/29/2025, 16:16:30.689,0.017307,22.006,0.033919,21.879,
96, 9/29/2025, 16:16:40.716,0.017305,22.015,0.033909,21.879,
97, 9/29/2025, 16:16:50.737,0.017312,22.017,0.033922,21.877,
98, 9/29/2025, 16:17:00.738,0.017299,22.016,0.033919,21.871,
